#TAG_ORGAO_SUPERIOR: SECRETARIA DE REGIME GERAL DE PREVIDÊNCIA SOCIAL
#TAG_ORGAO: DEPARTAMENTO DE PERÍCIA MÉDICA FEDERAL
#TAG_TIPO_DOCUMENTO: PORTARIA
#TAG_IDENTIFICACAO: PORTARIA DPMF/SRGPS/MPS No 1.424
#TAG_DATA: 7 DE JUNHO DE 2025
#TAG_EMENTA: Divulga as unidades de atendimento em que foram ofertadas perícias médicas por telemedicina, autorizadas pela Lei n.o 14.724, de 14 de novembro de 2024.
#TAG_CORPO:
O DIRETOR DO DEPARTAMENTO DE PERÍCIA MÉDICA FEDERAL SUBSTITUTO, no uso das atribuições que lhe confere o art. 16, do Anexo I, do Decreto no 11.356, de 1º de janeiro de 2023, e o art. 2º inciso II, da Portaria SRGPS/MPS no 2.084, de 2 de julho de 2024, resolve:

Art. 1º Divulgar as unidades de atendimento em que foram ofertadas perícias médicas por telemedicina, 227 unidades, no período de 05 de abril de 2025 a 04 de julho de 2025, autorizadas pela Lei no 14.724, de 14 de novembro de 2024, na forma do seu Anexo.

Art. 2º. Esta Portaria entra em vigor na data de sua publicação.
#TAG_ASSINATURA: ÁLVARO FRIDERICHS FAGUNDES
#TABELA: ANEXO I
estado,municipio,unidade
BA,ITIÚBA,APS ITIÚBA
BA,CÍCERO DANTAS,APS CÍCERO DANTAS
CE,CAMOCIM,APS CAMOCIM
CE,ITAPIPOCA,APS ITAPIPOCA
CE,VIÇOSA DO CEARÁ,APS VIÇOSA DO CEARÁ
CE,TAUÁ,APS TAUÁ
CE,IRAUÇUBA,APS IRAUÇUBA
CE,ITAREMA,APS ITAREMA
CE,AMONTADA,APS AMONTADA
CE,IPU,APS IPU
CE,UBAJARA,APS UBAJARA
CE,ASSARÉ,APS ASSARÉ
CE,ICÓ,APS ICÓ
CE,ORÓS,APS ORÓS
CE,MAURITI,APS MAURITI
CE,ARACATI,APS ARACATI
CE,FORTALEZA,APS FORTALEZA - ALDEOTA
CE,MARANGUAPE,APS MARANGUAPE
CE,QUIXERAMOBIM,APS QUIXERAMOBIM
CE,BOA VIAGEM,APS BOA VIAGEM
CE,SÃO GONÇALO DO AMARANTE,APS SÃO GONÇALO DO AMARANTE
CE,LIMOEIRO DO NORTE,APS LIMOEIRO DO NORTE
ES,BARRA DE SÃO FRANCISCO,APS BARRA DE SÃO FRANCISCO
ES,SOORETAMA,APS SOORETAMA
GO,JATAÍ,APS JATAÍ
GO,MORRINHOS,APS MORRINHOS
GO,MINEIROS,APS MINEIROS
GO,GOIANÉSIA,APS GOIANÉSIA
GO,MINAÇU,APS MINAÇU
GO,ITABERAÍ,APS ITABERAÍ
GO,JUSSARA,APS JUSSARA
MA,CAXIAS,APS CAXIAS
MA,CHAPADINHA,APS CHAPADINHA
MA,CODÓ,APS CODÓ
MA,PEDREIRAS,APS PEDREIRAS
MA,SÃO LUÍS,APS SÃO LUÍS - NAZARÉ
MA,COELHO NETO,APS COELHO NETO
MA,PENALVA,APS PENALVA
MA,SÃO MATEUS DO MARANHÃO,APS SÃO MATEUS DO MARANHÃO
MA,AÇAILÂNDIA,APS AÇAILÂNDIA
MA,SANTA LUZIA DO PARUÁ,APS SANTA LUZIA DO PARUÁ
MA,GRAJAÚ,APS GRAJAÚ
MA,AMARANTE DO MARANHÃO,APS AMARANTE DO MARANHÃO
MA,GOVERNADOR NUNES FREIRE,APS GOVERNADOR NUNES FREIRE
MA,PORTO FRANCO,APS PORTO FRANCO
MA,SANTA LUZIA,APS SANTA LUZIA
MA,SÃO DOMINGOS DO MARANHÃO,APS SÃO DOMINGOS DO MARANHÃO
MA,TUNTUM,APS TUNTUM
MG,SANTO ANTONIO DO MONTE,APS SANTO ANTONIO DO MONTE
MG,BARBACENA,APS BARBACENA
MG,SÃO JOÃO DEL REI,APS SÃO JOÃO DEL REI
MG,VIÇOSA,APS VIÇOSA
MG,FRUTAL,APS FRUTAL
MG,UNAÍ,APS UNAÍ
MG,CURVELO,APS CURVELO
MG,ITAMARANDIBA,APS ITAMARANDIBA
MG,PIRAPORA,APS PIRAPORA
MG,ALMENARA,APS ALMENARA
MG,MEDINA,APS MEDINA
MG,NANUQUE,APS NANUQUE
MG,PEDRA AZUL,APS PEDRA AZUL
MG,TEÓFILO OTONI,APS TEÓFILO OTONI
MG,ARACUAÍ,APS ARACUAÍ
MG,ÁGUAS FORMOSAS,APS ÁGUAS FORMOSAS
MG,JEQUITINHONHA,APS JEQUITINHONHA
MG,CARLOS CHAGAS,APS CARLOS CHAGAS
MS,NOVA ANDRADINA,APS NOVA ANDRADINA
MS,AMAMBAÍ,APS AMAMBAÍ
MT,ÁGUA BOA,APS ÁGUA BOA
MT,MIRASSOL DO OESTE,APS MIRASSOL DO OESTE
MT,PRIMAVERA DO LESTE,APS PRIMAVERA DO LESTE
MT,SINOP,APS SINOP
MT,ALTA FLORESTA,APS ALTA FLORESTA
MT,COLÍDER,APS COLÍDER
MT,JUARA,APS JUARA
MT,JUÍNA,APS JUÍNA
MT,SORRISO,APS SORRISO
MT,NOVA MUTUM,APS NOVA MUTUM
MT,GUARANTÃ DO NORTE,APS GUARANTÃ DO NORTE
MT,LUCAS DO RIO VERDE,APS LUCAS DO RIO VERDE
MT,PEIXOTO AZEVEDO,APS PEIXOTO AZEVEDO
MT,COLNIZA,APS COLNIZA
PA,GOIANÉSIA DO PARÁ,APS GOIANÉSIA DO PARÁ
PA,MARABÁ,APS MARABÁ
PA,PARAUAPEBAS,APS PARAUAPEBAS
PA,SÃO GERALDO DO ARAGUAIA,APS SÃO GERALDO DO ARAGUAIA
PA,XINGUARA,APS XINGUARA
PA,RONDON DO PARÁ,APS RONDON DO PARÁ
PA,ALTAMIRA,APS ALTAMIRA
PA,ITAITUBA,APS ITAITUBA
PA,SANTARÉM,APS SANTARÉM
PB,RIO TINTO,APS RIO TINTO
PB,CUITÉ,APS CUITÉ
PB,SAPÉ,APS SAPÉ
PB,BANANEIRAS,APS BANANEIRAS
PB,ALAGOA GRANDE,APS ALAGOA GRANDE
PB,ITAPORANGA,APS ITAPORANGA
PB,POMBAL,APS POMBAL
PB,SANTA LUZIA,APS SANTA LUZIA
PE,ESCADA,APS ESCADA
PE,CUPIRA,APS CUPIRA
PE,PALMARES,APS PALMARES
PE,BARREIROS,APS BARREIROS
PE,ARARIPINA,APS ARARIPINA
PE,SALGUEIRO,APS SALGUEIRO
PE,SÃO JOSÉ DO BELMONTE,APS SÃO JOSÉ DO BELMONTE
PE,GOIANA,APS GOIANA
PE,AFOGADOS DA INGAZEIRA,APS AFOGADOS DA INGAZEIRA
PE,PESQUEIRA,APS PESQUEIRA
PE,BOM CONSELHO,APS BOM CONSELHO
PE,SÃO JOSÉ DO EGITO,APS SÃO JOSÉ DO EGITO
PE,TABIRA,APS TABIRA
PE,CUSTÓDIA,APS CUSTÓDIA
PI,LUZILÂNDIA,APS LUZILÂNDIA
PI,PIRIPIRI,APS PIRIPIRI
PI,SÃO JOÃO DO PIAUÍ,APS SÃO JOÃO DO PIAUÍ
PI,SÃO RAIMUNDO NONATO,APS SÃO RAIMUNDO NONATO
PI,TERESINA,APS TERESINA - SUL
PI,VALENÇA DO PIAUÍ,APS VALENÇA DO PIAUÍ
PI,BARRAS,APS BARRAS
PI,UNIÃO,APS UNIÃO
PI,CANTO DO BURITI,APS CANTO DO BURITI
PI,COCAL,APS COCAL
PR,GOIOERÊ,APS GOIOERÊ
PR,LOANDA,APS LOANDA
PR,PARANAVAÍ,APS PARANAVAÍ
PR,UMUARAMA,APS UMUARAMA
PR,GUARAPUAVA,APS GUARAPUAVA
PR,UNIÃO DA VITÓRIA,APS UNIÃO DA VITÓRIA
PR,IBAITI,APS IBAITI
PR,PRUDENTÓPOLIS,APS PRUDENTÓPOLIS
PR,FOZ DO IGUAÇU,APS FOZ DO IGUAÇU
PR,CORNÉLIO PROCÓPIO,APS CORNÉLIO PROCÓPIO
PR,IVAIPORÃ,APS IVAIPORÃ
PR,PARANAGUÁ,APS PARANAGUÁ
RJ,ARARUAMA,APS ARARUAMA
RJ,CABO FRIO,APS CABO FRIO
RJ,MARICÁ,APS MARICÁ
RJ,SÃO PEDRO DA ALDEIA,APS SÃO PEDRO DA ALDEIA
RJ,BELFORD ROXO,APS BELFORD ROXO
RJ,PARATI,APS PARATI
RJ,BOM JARDIM,APS BOM JARDIM
RN,PAU DOS FERROS,APS PAU DOS FERROS
RN,PARELHAS,APS PARELHAS
RN,SÃO MIGUEL,APS SÃO MIGUEL
RO,ARIQUEMES,APS ARIQUEMES
RO,JI - PARANÁ,APS JI - PARANÁ
RO,VILHENA,APS VILHENA
RS,ENCANTADO,APS ENCANTADO
RS,SANTO ANTÔNIO DA PATRULHA,APS SANTO ANTÔNIO DA PATRULHA
RS,PORTO ALEGRE,APS PORTO ALEGRE - PARTENON
RS,CACHOEIRA DO SUL,APS CACHOEIRA DO SUL
RS,ALEGRETE,APS ALEGRETE
RS,SÃO BORJA,APS SÃO BORJA
RS,ITAQUI,APS ITAQUI
RS,BAGÉ,APS BAGÉ
SC,SÃO MIGUEL DO OESTE,APS SÃO MIGUEL DO OESTE
SC,DIONÍSIO CERQUEIRA,APS DIONÍSIO CERQUEIRA
SC,MAFRA,APS MAFRA
SC,SÃO FRANCISCO DO SUL,APS SÃO FRANCISCO DO SUL
SE,ITABAIANA,APS ITABAIANA
SE,LAGARTO,APS LAGARTO
SE,PROPRIÁ,APS PROPRIÁ
SE,SÃO CRISTOVÃO,APS SÃO CRISTOVÃO
SP,CUBATÃO,APS CUBATÃO
SP,REGISTRO,APS REGISTRO
SP,IGUAPE,APS IGUAPE
SP,ITAPEVA,APS ITAPEVA
SP,TATUÍ,APS TATUÍ
SP,CAPÃO BONITO,APS CAPÃO BONITO
SP,ITARARÉ,APS ITARARÉ
SP,GUARULHOS,APS GUARULHOS
SP,ARUJÁ,APS ARUJÁ
SP,ITAPEVI,APS ITAPEVI
SP,ARARAS,APS ARARAS
SP,CAPIVARI,APS CAPIVARI
SP,LIMEIRA,APS LIMEIRA
SP,LARANJAL PAULISTA,APS LARANJAL PAULISTA
SP,SÃO PEDRO,APS SÃO PEDRO
SP,CERQUILHO,APS CERQUILHO
SP,AMERICANA,APS AMERICANA
SP,SUMARÉ,APS SUMARÉ
SP,AMPARO,APS AMPARO
SP,JARINU,APS JARINU
SP,UBATUBA,APS UBATUBA
SP,SÃO SEBASTIÃO,APS SÃO SEBASTIÃO
SP,PRESIDENTE VENCESLAU,APS PRESIDENTE VENCESLAU
SP,ASSIS,APS ASSIS
SP,GARÇA,APS GARÇA
SP,MARÍLIA,APS MARÍLIA
SP,OURINHOS,APS OURINHOS
SP,SANTA CRUZ DO RIO PARDO,APS SANTA CRUZ DO RIO PARDO
SP,PIRAJU,APS PIRAJU
SP,CATANDUVA,APS CATANDUVA
SP,ITUVERAVA,APS ITUVERAVA
SP,SÃO JOAQUIM DA BARRA,APS SÃO JOAQUIM DA BARRA
SP,SERTÃOZINHO,APS SERTÃOZINHO
SP,RIBEIRÃO PRETO,APS RIBEIRÃO PRETO - AMADOR BUENO
SP,CRAVINHOS,APS CRAVINHOS
TO,ARAGUAÍNA,APS ARAGUAÍNA
TO,ARRAIAS,APS ARRAIAS
